BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
66.16	Le mariage du siècle ou lettres de madame la comtesse de Castelli à madame la baronne de Fréville, par Monsieur Contant d’Orville En	CONTANT D’ORVILLE, André-Guillaume
66.18	Mémoires du chevalier de Gonthieu, publiés par M. de La Croix	DELACROIX, Jacques-Vincent
66.19	Aventures philosophiques	DUBOIS-FONTANELLE, Joseph-Gaspard
66.2	Le bal de Saint-Cloud
66.20	Amusement curieux et divertissant propre à égayer l’esprit ou fleurs de bons mots, contes à rire, valeur héroique &c., le tout sans obscénité, afin que les personnes de tout état puissent en faire leurs récréations, recueilli par D****, jadis imprimeur de l’escadre du Roi à l’expédition de Minorque	DUCRY, Sébastien-Joseph
66.21	Le compère Mathieu ou les bigarrures de l’esprit humain	DU LAURENS, abbé Henri-Joseph
66.23	Histoires et paraboles du P. Bonaventure	GIRAUDEAU, le père Bonaventure
66.24	Candidamentor ou le voyageur grec, histoire traduite du grec, contenant des événemens singuliers et intéressans	HARNY DE GUERVILLE
66.25	De tout un peu ou les amusements de la campagne, par l’auteur de Rose	JULLIEN, Jean-Auguste, dit Desboulmiers
66.27	Mémoires du marquis de Solanges	JULLIEN, Jean-Auguste, dit Desboulmiers
66.28	Histoire de miss Honora ou le vice dupe de lui-même	LEFEBVRE DE BEAUVRAY, Claude-Rigobert
66.29	Mémoires de madame la baronne de Batteville ou la veuve parfaite par madame Le Prince de Beaumont	LEPRINCE DE BEAUMONT, madame Marie
66.30	L’heureuse famille, conte moral	LEZAY-MARNÉZIA, Claude-François-Adrien, marquis de
66.31	Mémoires d’une religieuse écrits par elle-même et recueillis par M. de L...	LONGCHAMPS, abbé Pierre Charpentier de
66.33	La reine de Benni, nouvelle historique	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
66.34	Euménie et Gondamir, histoire françoise du tems où commença la monarchie	MAILHOL, Gabriel
66.35	Mahulem, histoire orientale	MARESCOT, Michel
66.36	Angélique ou la religieuse selon le cœur de Dieu, par le R.P. Michel-Ange Marin, de l’ordre des Minimes	MARIN, le père Michel-Ange
66.37	Histoire d’Izerben, poète arabe, traduite de l’arabe par M. Mercier	MERCIER, Louis-Sébastien
66.38	Mémoires de madame la marquise de Crémy, écrits par elle-même	MIREMONT, Anne d’Aubourg de La Boire, comtesse de
66.39	Le duo interrompu, conte, suivi d’ariettes nouvelles	MOLINE, Pierre-Louis
66.40	Les passions des différents âges ou tableau des folies du siècle par M. N***	NOUGARET, Pierre-Jean-Baptiste
66.5	Lettres galantes et historiques d’un chevalier de Malte
66.6bis	Minutes perdues ou histoire amoureuse et galante du marquis de ***
66.7	Voyage de Robertson aux terres australes, traduit sur le manuscrit anglois
66.8	Œuvres diverses de M. Ailé	AILÉ
66.9	Sidnei et Silli ou la bienfaisance et la reconnaissance, histoire anglaise, suivie d’odes anacréontiques, par l’auteur de Fanni	ARNAUD, François-Thomas-Marie de Baculard d’
67.1	L’amitié scythe ou histoire secrette de la conjuration de Thèbes
67.10	Le peintre italien, ouvrage posthume à son héros ou le tableau de la vie accompagné de plusieurs autres
67.11	Rosette ou la fille du monde philosophe
67.12	Voyage de trois Turcs de qualité, histoire mêlée de vrai et de faux comme le sont presque toutes celles qu’on lit, traduite de l’arabe
67.13	Œuvres posthumes de monsieur d’Ardène, associé à l’Académie des belles-lettres de Marseille	ARDÈNE, Esp.-J. Rome d’
67.14	Bathilde ou l’héroïsme de l’amour, anecdote historique par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
67.15	Clary ou le retour à la vertu récompensé, histoire anglaise par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
67.16	Julie ou l’heureux repentir, anecdote historique par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
67.17	Lucie et Mélanie ou les deux sœurs généreuses, anecdote historique par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
67.18	Nancy ou les malheurs de l’imprudence et de la jalousie, histoire imitée de l’anglais, par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
67.19	La petite poste dévalisée	ARTAUD, Jean-Baptiste
67.20	Lettres du colonel Talbert, par madame **, auteur d’Elisabeth	BENOIST, Françoise-Albine Puzin de La Martinière, madame
67.21	Joseph, en neuf chants, par M. Bitaubé de l’Académie royale des sciences et belles-lettres de Prusse	BITAUBÉ, Paul-Jérémie
67.22	Le lord impromptu, nouvelle romanesque traduite de l’anglois	CAZOTTE, Jacques
67.23	Nouveaux contes moraux ou historiettes galantes et morales par M. C***	CHARPENTIER, Louis
67.24	Les orphelins, conte moral mis en action en forme de pièce dramatique en cinq actes et en prose, par M.D.C***	COSTARD, Jean-Pierre
67.26	Lettres d’Affi à Zurac, publiées par M. de Lacroix	DELACROIX, Jacques-Vincent
67.29	L’antipapisme révélé ou les rêves de l’antipapiste	DU LAURENS, abbé Henri-Joseph
67.3	Candide en Dannemarc ou l’optimisme des honnêtes gens
67.30	Je suis pucelle, histoire véritable	DU LAURENS, abbé Henri-Joseph
67.31	Mémoires de milady Worthon traduit (sic) de l’anglois par M. d’Estrade	ESTRADE
67.32	Conte oriental, par Nadir	GAUTIER DE MONTDORGE, Antoine
67.33	Vision de Sylvius Graphalètes ou le temple de mémoire	GIRAUD, Claude-Marie
67.36	La nouvelle Clarice, histoire véritable, par madame Le Prince de Beaumont	LEPRINCE DE BEAUMONT, madame Marie
67.38	Hylaire, par un métaphysicien	MARCHAND, Jean-Henri
67.39	Bélisaire, par M. Marmontel de l’Académie françoise	MARMONTEL, Jean-François
67.4	Les deux amis
67.40	Les amours de Cherale, poème en six chants, suivi du Bon génie	MERCIER, Louis-Sébastien
67.41	La sympathie, histoire morale, par M. Mercier	MERCIER, Louis-Sébastien
67.43	La famille vertueuse, lettres traduites de l’anglais, par monsieur de La Bretonne	RÉTIF DE LA BRETONNE, Nicolas-Edme
67.44	Lettres d’Adélaïde de Dammartin, comtesse de Sancerre à monsieur le comte de Nancé, son ami, par madame Riccoboni	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
67.45	Nicole de Beauvais ou l’amour vaincu par la reconnoissance, par madame Robert	ROBERT, Marie-Anne de Roumier, madame
67.46	L’école des pères et des mères ou les trois infortunées	SABATIER, abbé Antoine, dit Sabatier de Castres
67.47	La ratomanie ou songe moral et critique d’une jeune philosophe, par madame ***	SABATIER, abbé Antoine, dit Sabatier de Castres
67.48	Les amis rivaux, histoire anglaise par M. de Sacy	SACY, Claude-Louis-Michel de
67.5	Les écarts de la jeunesse, histoire morale
67.51	Mémoires de mademoiselle de Valcourt	THIROUX D’ARCONVILLE, Marie-Geneviève-Charlotte Darius, madame
67.52	L’Ingénu, histoire véritable, tirée des manuscrits du Père Quesnel	VOLTAIRE, François-Marie Arouet de
67.6	Les Gascons en Hollande ou aventures singulières de plusieurs Gascons
67.8	Marianne ou la paysanne de la forêt d’Ardennes, histoire mise en dialogues
67.9	Mémoires d’un officier de Saxe
68.1	Agénor et Zulmé
68.11	Voyages et aventures du chevalier de ***, contenant les voyages de l’auteur dans les isles Antilles françoises du vent de l’Amérique septentrionale, y compris les Isles Caraïbes de Saint-Vincent, Sainte-Lucie & la Dominique & dans celle de Saint-Thomas, appartenante aux Danois ...
68.12	Euphémie ou le triomphe de la religion, drame, par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
68.13	Agathe et Isidore, par madame Benoist	BENOIST, Françoise-Albine Puzin de La Martinière, madame
68.15	Histoires morales, suivies d’une correspondance épistolaire entre deux dames, par mademoiselle ***	BODIN DE BOISMORTIER, Suzanne
68.16	Le catéchumène, traduit du chinois	BORDE, Charles
68.17	Henriette de Wolmar ou la mère jalouse de sa fille, histoire véritable pour servir de suite à la Nouvelle Héloïse, par J.J.R.	BRUMENT
68.19	L’orphelin normand ou les petites causes et les grands effets	CHARPENTIER, Louis
68.2	Azoïla, histoire qui n’est point morale
68.20	Vos loisirs par monsieur Charpentier, auteur des Nouveaux contes moraux	CHARPENTIER, Louis
68.22	Métamorphoses de l’amour, par monsieur C*** D***	CONTANT D’ORVILLE, André-Guillaume
68.23	Chinki, histoire cochinchinoise qui peut servir à d’autres pays	COYER, abbé Gabriel-François
68.24	Lettres de la duchesse de *** au duc de ***	CRÉBILLON, Claude-Prosper Jolyot de
68.25	Les effets des passions ou mémoires de monsieur de Floricourt	DUBOIS-FONTANELLE, Joseph-Gaspard
68.27	Le Bouyer de La république des philosophes ou histoire des Ajaoiens, ouvrage posthume de monsieur de Fontenelle. On y a joint une Lettre sur la nudité des sauvages.	FONTENELLE, Bernard
68.28	Les trois nations, contes nationaux	FRAMERY, Nicolas-Etienne
68.29	Mémoires du chevalier de Kilpar, traduits ou imités de l’anglais de M. Fielding, par M. D... M... C... D...	GAIN DE MONTAGNAC, Louis-Laurent-Joseph
68.3	Contes moraux ou les hommes comme il y en a peu
68.30	Les confessions de mademoiselle de Mainville, duchesse de ***, à la comtesse de N***, son amie	GALTIER, Jean-Louis, dit Galtier de Saint-Symphorien
68.31	Variétés littéraires ou recueil de pièces, tant originales que traduites, concernant la philosophie, la littérature et les arts	HAWKESWORTH, John	MACPHERSON, James
68.32	Suite de De tout en peu ou les amusements de la campagne par l’auteur des Mémoires du marquis de Solanges	JULLIEN, Jean-Auguste, dit Desboulmiers
68.33	Les métamorphoses de la religieuse, lettres d’une dame à son amie	LABOUREYS, madame de
68.34	Iphis et Aglaè, par M*‘*	LA GUESNERIE, Charlotte-Marie-Anne Charbonnier de
68.35	Les désordres de l’amour ou les étourderies du chevalier Des Brières, mémoires secrets contenant des anecdotes historiques sur les glorieuses campagnes de Louis XIV & de Louis XV, par l’auteur des Mémoires de Cécile	LA PLACE, Pierre-Antoine de
68.36	Histoire de Sophie de Francourt, par Monsieur ***	LA SALLE D’OFFÉMONT, Adrien-Nicolas Piédefer, marquis de
68.37	L’infortuné ou mémoires de monsieur de ***	LAUS DE BOISSY, Louis de
68.38	La nouvelle lune ou histoire de Poequilon par monsieur le B***	LEBRET, Alexis-Jean
68.4	La conversion de M. de Voltaire, songe
68.40	Histoire de madame d’Emeville, écrite par elle-même	MAUCOMBLE, Jean-François-Dieudonné
68.41	Nitophar, anecdote babilonienne pour servir à l’histoire des plaisirs	MAUCOMBLE, Jean-François-Dieudonné
68.42	Songes philosophiques, par M. Mercier	MERCIER, Louis-Sébastien
68.43	Zambeddin, histoire orientale	MERCIER, Louis-Sébastien
68.44	Histoire du cœur, par mademoiselle de Milly	MILLY, mademoiselle de
68.46	Histoire de mademoiselle de Terville, par madame de Puisieux	PUISIEUX, Madeleine d’Arsant, madame de
68.47	Mémoires d’un homme de bien, par madame de Puisieux	PUISIEUX, Madeleine d’Arsant, madame de
68.48	Histoire de madame de Bellerive ou principes sur l’amour et sur l’amitié, par M. le chevalier D*****	PUYSÉGUR, François-Jacques de Chastenet, marquis de
68.5	Dominique et Séraphine, histoire corse par un officier français
68.50	Lucile ou les progrès de la vertu, par un mousquetaire	RÉTIF DE LA BRETONNE, Nicolas-Edme
68.51	Les ondins, conte moral, par madame Robert	ROBERT, Marie-Anne de Roumier, madame
68.52	Les jeux de la fortune par M. de S***	SACY, Claude-Louis-Michel de
68.53	Dialogues moraux de M. de C***, suivis de l’Histoire d’un baron picard	THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de
68.54	Le temps et la patience, conte moral par feu mad. de Villeneuve	VILLENEUVE, Gabrielle-Suzanne Barbot de
68.55	L'homme aux quarante ecus	VOLTAIRE, François-Marie Arouet de
68.56	La princesse de Babilone	VOLTAIRE, François-Marie Arouet de
68.5bis	Doraste et Celonte ou l’inconstance peut-être louable
68.7	Lettres de milord Rodex pour servir à l’histoire des mœurs du dix-huitième siècle
68.9	Sensible et Constant ou le véritable amour
69.10	Le philosophe allemand par M. Jeh****
69.11	Vie de la Bourbonnoise écrite par elle-même à sa mère
69.12	Anne Bell, histoire anglaise, par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
69.13	Sélicourt, nouvelle, par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
69.14	La Parisienne en province, ouvrage national, par M.....	BARBÉ-MARBOIS, François, marquis de
69.15	La jolie femme ou la femme du jour	BARTHE, Nicolas-Thomas
69.17	Sophronie ou leçon prétendue d’une mère à sa fille, par madame Benoist	BENOIST, Françoise-Albine Puzin de La Martinière, madame
69.19	Le passe-tems ou recueil de contes intéressans, moraux & récréatifs par M. Brunet de Baines	BRUNET DE BAINES
69.2	Apolline et Dancourt, histoire véritable par M. H.D.L.
69.20	Belise ou les deux cousines	CALVEL, abbé Etienne
69.22	Histoire de Robert le Diable, duc de Normandie et de Richard sans peur, son fils	CASTILHON, Jean
69.23	Zingha, reine d’Angola, histoire africaine en deux parties par Mr. L. Castilhon	CASTILHON, Jean-Louis
69.24	Mémoires de miss Fanny Palmer, histoire galante, politique et morale, en trois parties, par le colonel chevalier de Champigny	CHAMPIGNY, colonel chevalier Jean de
69.25	L’élu et son président ou histoire d’Eraste et de Sophie	CHARPENTIER, Louis
69.26	Le mariage, par monsieur C***	COMPAN, Charles, abbé
69.27	La nature vengée ou la réconciliation imprévue, par M. C**	COMPAN, Charles, abbé
69.28	Romans moraux pour servir de supplément à la Bibliothèque de campagne, par M. Contant d’Orville	CONTANT D’ORVILLE, André-Guillaume
69.29	Mémoires pour servir à l’histoire de l’infortunée Julie et à celle de bien des autres, par M. Dacier, neveu du grand Dacier & colporteur de livres suivant la cour	DACIER
69.30	Dorval ou mémoires pour servir à l’histoire des mœurs du XVIIIe siècle	DAMIENS DE GOMICOURT, Auguste-Pierre
69.31	Mémoires de Victoire	DELACROIX, Jacques-Vincent
69.33	Les pressentimentsjustifiés, anecdote historique	DUCOUDRAY, Alexandre-Jacques Chevalier, dit le chevalier
69.34	La bergère, fragment d’une pastorale	ESTÈVE, Pierre
69.35	Histoire d’Agathe de St. Bohairc	FRENAIS, Joseph-Pierre
69.36	Nadir, histoire orientale, roman moral et politique applicable aux mœurs du jour	GAUTIER DE MONTDORGE, Antoine
69.4	Histoire de madame Dubois
69.41	Le bon fils ou les mémoires du comte de Samarandes par l’auteur des Mémoires du marquis de Solanges	JULLIEN, Jean-Auguste, dit Desboulmiers
69.44	Lettres d’un philosophe sensible publiées par M. de Lacroix	LACROIX, Pierre-Firmin de
69.45	Le fatalisme ou collection d’anecdotes pour prouver l’influence du sort sur l’histoire du coeur humain par M. le chevalier de La Morlière	LA MORLIÈRE, chevalier Charles-Jacques-Louis-Auguste Rochette de
69.46	Caractères des femmes ou aventures du chevalier de Miran	LESBROS DE LA VERSANE, Louis
69.47	Le véridique ou mémoires de M. de Fillerville, histoire véritable par un menteur	MARCHAND, Jean-Henri
69.48	Contes moraux par M. Mercier	MERCIER, Louis-Sébastien
69.49	Ainsi va le monde	NOUGARET, Pierre-Jean-Baptiste
69.50	La fille naturelle	RÉTIF DE LA BRETONNE, Nicolas-Edme
69.51	Lettres de lord Austin de N** â lord Humfrey de Dorset, son ami	RÉTIF DE LA BRETONNE, Nicolas-Edme
69.52	Le pied de Fanchette ou l’orpheline française, histoire intéressante et morale	RÉTIF DE LA BRETONNE, Nicolas-Edme
69.55	Les vicissitudes de la fortune ou cours de morale mise en action pour servir à l’histoire de l’humanité	ROUSSELOT DE SURGY, Jacques-Philibert
69.56	Betsi ou les bizarreries du destin	SABATIER, abbé Antoine, dit Sabatier de Castres
69.57	Les amours de Sapho et de Phaon	SACY, Claude-Louis-Michel de
69.58	Les Saisons , poème. Abenaki, Sarah Th..., Ziméo, contes. Pièces fugitives en vers. Fables orientales	SAINT-LAMBERT, Jean-François, marquis de
69.6	L’homme aux trente-six fortunes ou le Français à Constantinople & ailleurs
69.60	Adélaïde ou l’amour et le repentir, anecdote volée par M. D.M.	SAVIN
69.63	L’homme au latin ou la destinée des savans, histoire sans vraisemblance	SIRET, Pierre-Louis
69.65	Les amours de Lucile et de Doligny	TESSON DE LA GUÉRIE, Jean
69.67	Les deux orphelines, histoire angloise	TEUTON
69.69	Les choses utiles et agréables	VOLTAIRE, François-Marie Arouet de
69.8	Les malheurs utiles ou l’ambitieux corrigé, anecdote historique & morale
69.9	Mémoires de monsieur d’Ablincourt et de mademoiselle de Saint-Simon
70.1	Les amours de Cartouche ou les aventures singulières et galantes de cet homme trop célèbre, d’après le manuscrit trouvé à la Bastille
70.11	Lettres variées de mademoiselle de St. Filts à madame de Rocbel par madame de M***
70.14	Le père avare ou les malheurs de l’éducation, contenant une idée de ceux de la colonie de l’isle de C***
70.16	Les souhaits de la nouvelle année, conte
70.17	Trop long, conte très court
70.18	Vénus en rut ou la vie d’une célèbre libertine
70.19	La vraie richesse et le Moyen de réussir, contes, suivis des Mémoires de Victoire
70.20	Les aventures du chevalier de Lorémi, écrites par lui-même	ANSART, dom André-Joseph
70.22	Le négociant infortuné ou le père de famille malheureux, par monsieur D’Artois, curé de Moléans	ARTOIS, d’ (curé de Moléans)
70.23	Gulianc, conte physique et moral traduit de l’anglois et enrichi de notes pour servir à l’intelligence du texte, par M......	BARBÉ-MARBOIS, François, marquis de
70.24	Histoire de mademoiselle de Grisoles écrite par elle même	BEAUCLAIR, Pierre-Louis de
70.25	Œuvres de M. de B***	BEAUMANOIR, de
70.26	Mémoires de Lucie d’Olbery, traduits de l’anglois par madame de B... G ..., auteur des Lettres de milady Bedford	BECCARY, madame
70.27	L’erreur des désirs par madame Benoist	BENOIST, Françoise-Albine Puzin de La Martinière, madame
70.28	Lettre écrite à madame la comtesse Tation	BIÈVRE, François-Georges Maréchal, marquis de
70.29	Ecole du monde à l’usage des jeunes gens de l’un et de l’autre sexe	BOISMINON (BOISMIRON)
70.3	Le cultivateur, histoire par M. B.....D. P.....
70.32	Le soupé des petits-maitres, ouvrage moral	CAILHAVA DE L’ESTENDOUX, Jean-François
70.34	Histoire de Fortunatus et de ses enfans, nouvelle édition	CASTILHON, Jean
70.35	Histoire de Jean de Calais sur de nouveaux mémoires	CASTILHON, Jean
70.36	Nouvelle histoire de Pierre de Provence et de la belle Maguelonne, nouvelle édition	CASTILHON, Jean
70.38	Le mendiant boiteux ou les aventures d’Ambroise Gwinett, balayeur du pavé de Spring-Garden, d’après des notes écrites de sa main, par M. L. Castilhon.	CASTILHON, Jean-Louis
70.39	Mémoires d’un citoyen ou le code de l’humanité	CHARPENTIER, Louis
70.40	Lieb-Rose ou l’épreuve de la vertu, histoire scythe, traduite de l’allemand par M. le chevalier de ***	CHINIAC DE LA BASTIDE DU CLAUX, Pierre de
70.42	Le livre à la mode ou le philosophe rêveur, ouvrage dans lequel on trouve plusieurs particularités singulières & intéressantes pour tous les états de la vie par le chevalier Des Essarts	DES ESSARTS, chevalier
70.43	Les deux reines, drame héroïque en cinq actes et en prose, suivi de Sylvie et Moléshoff, imitation libre de l’anglois	DORAT, Claude-Joseph
70.44	Naufrage et aventures de M. Pierre Viaud, natif de Bordeaux, capitaine de navire	DUBOIS-FONTANELLE, Joseph-Gaspard
70.45	Le début ou les premières aventures du chevalier de ***	FALCONET, Ambroise
70.46	Mémoires de M. le marquis de S. Forlaix, recueillis dans les lettres de sa famille par M. Framery	FRAMERY, Nicolas-Etienne
70.47	Les familles de Darius et d’Hidarne ou Statira et Amestris, histoire persane	GILBERT, Nicolas-Joseph-Laurent
70.56	Le royalisme ou mémoires de Du Barri de Saint Aunez et de Constance de Cézelli, sa femme, anecdotes héroïques sous Henri IV, par M. de L....	LA MORLIÈRE, chevalier Charles-Jacques-Louis-Auguste Rochette de
70.58	Les Américaines ou la preuve de la religion chrétienne par les lumières naturelles, par Mde Le Prince de Beaumont, première édition, faite au dépens de l’auteur	LEPRINCE DE BEAUMONT, madame Marie
70.59	Les soirées d’un honnête-homme ou mémoires pour servir à l’histoire du cœur par l’auteur des Caractères des femmes	LESBROS DE LA VERSANE, Louis
70.6	Histoire de deux amants françois, écrite en vers et en prose
70.60	Les militaires au-dela du Gange, par M. de Lo-Looz, chevalier de l’ordre royal & militaire de Saint-Louis	LO-LOOZ, Robert, chevalier de
70.62	Bergeries	MARÉCHAL, Pierre-Sylvain
70.63	Contes très mogols, enrichis de notes, avis, avertissemens curieux & instructifs, à l’usage des deux sexes, par un vieillard quelquefois jeune, pour servir de suite ou de commencement à l’histoire des empereurs mogols	MARSOLLIER DES VIVETIÈRES, Benoît-Joseph
70.65	Songes d’un hermite	MERCIER, Louis-Sébastien
70.66	Dinville ou les catastrophes amoureuses, histoire invraisemblable par l’auteur du Duo interrompu	MOLINE, Pierre-Louis
70.68	Anecdotes intéressantes, par mademoiselle P**	POULAIN, mademoiselle (de Nogent-sur-Seine)
70.71	Les deux amis, conte iroquois	SAINT-LAMBERT, Jean-François, marquis de
70.72	Les deux amis ou le comte de Méralbi, par M. Sellier de Moranville, officier-major dans le régiment de Berry, infanterie	SELLIER DE MORANVILLE
70.74	Les soupirs d’Euridice aux Champs-Elysées, par l’auteur de Garrick ou les acteurs anglois	STICOTTI, Antoine-Fabio
70.75	Dona Gratia d’Ataïde, comtesse de Ménésès, histoire portugaise	THIROUX D’ARCONVILLE, Marie-Geneviève-Charlotte Darius, madame
70.76	Les deux frères, histoire morale	THOMASSEAU DE CURSAY, abbé Jean-Marie-Joseph Thomasseau, dit
70.77	Voyage à Ccilan ou les philosophes voyageurs, ouvrage publié par Hcnriquès Pangrapho, maître ès-arts de l’Université de Salamanque	TURPIN, François-Henri
71.11	Le Nagzag ou les mémoires de Christophe Rustaut, dit l’Africain
71.12	La rhétorique des putains ou la fameuse maquerelle, ouvrage imité de l’italien
71.13	Les soirées d’hiver ou recueil de moralités mises en action
71.14	Suite et conclusion du Roman comique de Scarron, par M.D.L.
71.15	Zama, histoire véritable
71.17	Le dépit et le voyage, poème, avec des notes, suivi des Lettres vénitiennes	BASTIDE, Jean-François de
71.20	Folie de la prudence humaine, par madame Benoist	BENOIST, Françoise-Albine Puzin de La Martinière, madame
71.21	Lettres africaines ou histoire de Phédima et d’Abensar, par M. Butini	BUTINI, Jean-François
71.22	L’aveugle qui refuse de voir	CERFVOL, de
71.22bis	Lettres angloises ou les époux à la mode, par le **	CHAMPIGNY, colonel chevalier Jean de
71.23	Lettres athéniennes extraites du porte-feuille d’Alcibiade	CRÉBILLON, Claude-Prosper Jolyot de
71.24	Mémoires d’un Américain, avec une description de la Prusse et de l’isle de Saint Domingue, par l’auteur des Lettres d’Affi à Zurac & de celles d’un Philosophe sensible	DELACROIX, Jacques-Vincent
71.25	Les sacrifices de l’amour ou lettres de la vicomtesse de Senanges et du chevalier de Versenay	DORAT, Claude-Joseph
71.27	Trapue, reine des Topinainboux ou la maîtresse femme, conte pour servir de suite aux contes du même auteur	JULLIEN, Jean-Auguste, dit Desboulmiers
71.3	De Langreset Juliette d’Est .... anecdote française, ornée de figures en taille-douce
71.30	Lettres du chevalier d’Origny à son ami Mercourt	LECOMTE
71.31	Poésies pastorales par monsieur Léonard	LÉONARD, Nicolas-Germain
71.34	Le temple de l’hymen dédié à l’amour, suivi d’une anecdote véritable	MARÉCHAL, Pierre-Sylvain
71.34bis	Les soirées helvétiennes, alsaciennes et francomtoises	MASSON DE PEZAY, Alexandre-Frédéric-Jacques
71.35	Les tableaux, suivis de l’histoire de mademoiselle de Syane et du comte de Marcy	MASSON DE PEZAY, Alexandre-Frédéric-Jacques
71.36	L’an deux mille quatre cent quarante, rêve s’il en fut jamais	MERCIER, Louis-Sébastien
71.37	Les mille et une folies, contes français par M. N***	NOUGARET, Pierre-Jean-Baptiste
71.39	Le marquis de T*** ou l’école de la jeunesse, tirée des mémoires recueillis par N.-E.-A. Desforets, homme-d’affaires de la maison de T***	RÉTIF DE LA BRETONNE, Nicolas-Edme
71.4	La douce proposition, anecdote par madame *** »
71.41	Zéphirine ou l’époux libertin, anecdote volée par l’auteur d’Adélaïde	SAVIN
71.42	Confidence philosophique	VERNES, Jacques
71.5	L’erreur reconnue, nouvelle françoise
71.6	Etrennes aux célibataires ou essai d’anecdotes curieuses *
71.8	L’hirondelle de Carême ou le pouvoir de l’amour
72.1	Adélaïde ou le triomphe de l’amour et de la vertu
72.10	Adelson et Salvini, anecdote anglaise par monsieur d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
72.11	Sargines, nouvelle par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
72.12	Mémoires d’un Languedocien, contenant des voyages, des avantures et des événements curieux et intéressants, des combats, des intrigues galantes & des réflexions propres à faire connoitre le danger des passions de la jeunesse, par le détail même de leurs causes & de leurs effets, par Mr. B******d, de Montpellier	BERTRAND (de Montpellier)
72.13	Les amours de l’Ange-lure, roman historique par Mr. le marquis de B*****	BIÈVRE, François-Georges Maréchal, marquis de
72.13bis	Le protecteur bourgeois ou la confiance trahie, comédie en vers, par monsieur B****, tome second	BRET, Antoine
72.14	Journées mogoles, opuscule décent d’un docteur chinois Imprimé à Dély & se trouve à	BUTEL-DUMONT, Georges-Marie
72.15	Voyage de la raison en Europe, par l’auteur des Lettres récréatives et morales Compiègne, Louis	CARACCIOLI, Louis-Antoine, marquis de
72.16	Odazir ou le jeune Syrien, roman philosophique, composé d’après les mémoires d’un Turc, par M. ***	CARRA, Jean-Louis
72.17	Le diable amoureux, nouvelle espagnole	CAZOTTE, Jacques
72.18	Lettres du baron d’OIban	COTENEUVE, de
72.19	Les malheurs de l’inconstance ou lettres de la marquise de Syrcé et du comte de Mirbelle	DORAT, Claude-Joseph
72.2	Ecole de la vertu ou lettres morales utiles à toutes personnes pour se conduire dans le monde, principalement à la jeunesse
72.20	Histoire de monsieur de Vaubrun écrite par lui-mème, recueillie & mise en ordre par M. P. Gaschignard	GASCHIGNARD, P.
72.23	Lydia ou mémoires de milord D***, imités de l’anglais par M. de La Place	LA PLACE, Pierre-Antoine de
72.24	Les caprices de l’amour et de l’amitié, anecdote angloise, suivie d’une petite anecdote allemande	LA ROCHE, Maria Sophie Gutermann, Frau von
72.24bis	Jeannette ou la fervente paysanne, histoire portugaise	MAYDIEU, abbé Jean
72.26	Supplément au Roman comique ou mémoires pour servir à la vie de Jean Monnet, ci-devant directeur de l’Opéra-Comique à Paris, de l’Opéra de Lyon & d’une Comédie Françoise à Londres	MONNET, Jean
72.27	Lettres illinoises, par J.A.P., auteur de Clarisse	PERREAU, Jean-André
72.28	Le phasma ou l’apparition, histoire grecque, contenant les aventures de Néoclès, fils de Thémistocle, ouvrage tiré d’un manuscrit trouvé à Smyrne et traduit par M. Poinsinet de Sivry, de la Société royale des sciences & belles-lettres de Lorraine	POINSINET DE SIVRY, Louis
72.29	Voyage d’un prince autour du monde ou les effets du luxe	RABELLEAU
72.30	Les oreilles des bandits de Corinthe, avec une lettre de M. de Voltaire sur les comètes	RÉMY, abbé Joseph-Honoré
72.31	Adèle de Comm ** ou lettres d’une fille à son père En	RÉTIF DE LA BRETONNE, Nicolas-Edme
72.32	Lettres d’Elisabeth Sophie de Vallière à Louise Hortence de Canteleu, son amie, par madame Riccoboni	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
72.33	Le Décaméron françois, par M. d’Ussieux	USSIEUX, Louis d’
72.34	Henriette et Lucie ou les amies rivales, nouvelle écossoise par M. d’Ussieux	USSIEUX, Louis d’
72.35	Jeanne Gray, anecdote angloise par M. d’Ussieux	USSIEUX, Louis d’
72.4	Lindor ou les excès de l’amour, lettres
72.5	Les matinées du Palais Royal
72.6	On ne s’y attendait pas
