P13	check		P5	1P5	2P5	3P5	4P5								P4					P44			P7	P43				P46			P45									P47			P48			P49			P50			P51		P52		
63.29	mt		GOLDSMITH, Oliver						POIVRE, Pierre						Le citoyen du monde ou lettres d’un philosophe chinois à ses amis dans l’Orient, ouvrage traduit de l’anglois par Mr. P***		Amsterdam			J.F. Boitte			1763	1763				3 t. in-12			xx + 238, vi + 264, vi + 216p.		BM BN+ B Q Rochedieu Streeter					Trad. de The Citizen of the World, 1762.		En marge: lettres			Angleterre, Chine			Lien Chi, Fum Hoam			critique des mœurs, réflexions morales, peu d’intrigue			cf. Lettres persanes				
63.3															Les deux cousines ou le mariage du chevalier de ***		Constantinople						1763	1763				in-12			211p.		A+ LV Gay Dufrenoy Jones Mornet		A possède un autre exemplaire, identique au premier à part la date de MDCCXLII1. Serait-ce une erreur, corrigée au cours de l’impression de l’ouvrage? L’aspect de cet exemplaire suggère une édition de 1763 plutôt que de 1743. BUR 1784 sept., pp. 155—160, donne une analyse (avec la date de 1743).					1re personne et beaucoup de narration à la 3e personne			Constantinople, Le Caire (fin XVIIe siècle)			le marquis de ***, le chevalier de ***, Mocharefé, Fatime			intrigue sentimentale, aventures romanesques, couleur locale musulmane							
63.30			GUÉRINEAU DE SAINT-PÉRAVI, Jean-Nicolas-Marcellin												L’optique ou le Chinois à Memphis, essais traduits de l’égyptien		Londres			Marc-Michel Rey			1763	1763				2 part, in-12			iv + 176, 265p.		A BM BN+ AL 1763 VIII 169-184; CatH xlii 1765; CorrL déc. 1763-LV B Bengesco Drujon Dufrenoy Mornet Attribué à		Voltaire; v. les Mémoires secrets de Bachaumont 22 nov., 1763.					3e personne			Chine, Egypte			Ismazeb, Nadine, Hibraïh			un verre grâce auquel on voit au fond de l âme donne lieu à une série de petites scènes			critique des mœurs, ton comique				
63.31	t		HAWKESWORTH, John						PRÉVOST, abbé Antoine-François						Almoran et Hamet, anecdote orientale publiée pour l’instruction d’un jeune monarque		Londres.						1763	1763				in-12			302p.		A BN+ AL 1763 IV 105-124; CatH xi 1763; CorrL juillet 1763: LV B Delcro Dufrenoy Harrisse Q Streeter					Trad. de Almoran and Hamet, an Oriental Taie, 1761.		3e personne			Perse			Solyman, Almoran, Hamet, Omar			le règne de deux frères, l’un hautain et méchant, l’autre modeste, sensible et bon			intentions moralisatrices, idées politiques				
63.32			HUERNE DE LA MOTHE, François-Charles												L’enfantement de Jupiter ou la fille sans mère		Amsterdam						1763	1763				2 part, in-12			239, 170p.		A+ BMf AL 1763 VII 240-260; CorrL août 1763; LV Delcro Gay Mornet							1re personne (mémoires)			Paris			Margot des Pelotons, M. d’Ul. ...M. Ruinard, le chevalier de Catel			aventures galantes et voyages d’une fille du peuple			ton satirique (parodie des ‘mémoires’ dans le genre de la Vie de Marianne)				
63.33			LECH												Mémoires du chevalier Berville ou les deux amis retirés du monde		Cologne & Paris			Charpentier			1763	1763				2 part, in-12			237, 215p.		A BN+ AL 1763 V 45-70; CatH xxvii 1763; CorrL juillet 1763; LV Q							1re personne (mémoires)			Paris, Italie, Espagne, Angleterre			M. le duc, M. de S. André, Henriette, Durval			aventures d’un mauvais garnement							
63.34	mt		LICHTWEHR, Magnus Gottfried						PFEFFEL, Gottlieb Conrad						Fables nouvelles, divisées en quatre livres, traduction libre de l’allemand de monsieur Lichtwehr		Strasbourg & Paris			Jean Godefroy Bauer, Langlois			1763	1763				pet. in-8			14+ 267p.		BM+ BN+ AL 1763 II 28-42 Q					Irad. de Fabeln, 1 748 (éd. augmentée, 1761).																En marge: cent vingt petites fables en prose (d’une page et demie en moyenne) d’après des originaux en vers		
63.35	*		L’ISLE, Jean-Baptiste-Nicolas de												Le vieux Jérôme, histoire véritable, dédiée à monsieur le marquis d’Armcntières, lieutenant général des armées du roi								1763	1763				in-32			16p.		B																							
63.36	*		NOUGARET, Pierre-Jean-Baptiste												Le méchant démasqué								1763	1763				in-8			Saint-Fargeau																									
63.37	t		PALTOCK, Robert						PUISIEUX, Philippe-Florent de						Les hommes volants ou les aventures de Pierre Wilkins, traduites de l’anglois & ornées de figures en taille-douce		Londres & Paris			veuve Brunet			1763	1763				3 t. in-12			xvi + 312 330, 318p.		A BM BN+ LV B Gove Mornet Rochedieu Streeter					Trad.de The Life and Adventures of Peter Wilkins, 1750.		1re personne			Angleterre, Afrique, le pays de Graundevolet			Pierre Wilkins, Patty, Glanlepze, Youwarky			voyages en mer, aventures romanesques, naufrage (le héros arrive chez un peuple volant, dont le corps est recouvert d’une membrane faisant fonction d’ailes)							
63.38			PERRIN, Jacques-Antoine-René												Henriette de Marconne, ou mémoires du chevalier de Présac		Amsterdam						1763	1763				in-12			240p.		A BN+ AL 1763 II 325-343; CatH iv 1763; CorrL avril 1763; LV B Gay Mornet Q		Le titre de départ porte: Les passions vaincues ou mémoires du chevalier de Présac.					1re personne (mémoires)			Périgueux, Paris, Noyon, Worms			le baron de Maule, Henriette de Marconne, miss Wams			aventures sentimentales et militaires			intentions moralisatrices				
63.39			ROBERT, Marie-Anne de Roumier, madame												La voix de la nature ou les aventures de madame la marquise de *** par mad. de R.R., auteur de la Paysanne philosophe		Amsterdam						1763	1763				5 part, in-12			239, 239, 239, 215, 195p.		A BN+ AL 1763 IV 244-270; CatH viii 1763; CorrL mai 1763; LV B Delcro Gay Gove Mornet Q							1re personne (mémoires)			Normandie, Paris, Rome, Afrique du Nord			M. et Mme d’Embleville, Verneuil, mère Sainte-Agathe, Mme de Bracmont, Mirka			voyages, aventures romanesques							
63.4															Histoire anglaise de milord Feld arrivée à Fontainebleau		La Haye & Paris			Duchesne, Musier fils			1763	1763 (t.I)- 1764(1.11)				2 t. in-12			238, 154p.		A+ CorrL janv. 1764; LV Mornet Streeter (trad. supposée)							1re personne (mais le narrateur n’est pas le personnage principal)			Fontainebleau, XVIe siècle			milord duc de Butler, Diane de Poitiers, François 1er, la comtesse de Wolfgang			aventures galantes et romanesques, voyages							
63.40			SAINT-AUBIN, madame Mézières du Crest, baronne d’Andlau, marquise de												Le danger des liaisons ou mémoires de la baronne de Blémon par madame la M ... de S.A.		Genève						1763	1763				6 part, in-12			106, 107-300, 166, 130 (pour 230), 196, 348p.		A BM+ BN CatH vi 1763; CorrL fév. 1763; LV B Gay Mornet Q Saint-Fargeau							1re personne (mémoires), avec de très longs récits intercalés			Auvergne			la marquise de Clarcy, M. de Blémon, Laure			histoires de famille et de mariage, récits intercalés sur les funestes effets des passions			intentions moralisatrices				
63.41			THIROUX D’ARCONVILLE, Marie-Geneviève-Charlotte Darius, madame												L’amour éprouvé par la mort ou lettres modernes de deux amans de vieille roche		Amsterdam & Paris			Musier fils			1763	1763				in-12			367p.		A+ BN+ AL 1763 III 268-280; CatH viii 1763; CorrL juin 1763; LV B Delcro Gay Mornet Q		Saint-Fargeau Le titre de départ porte: Lettres de M. de R. à madame de M. avec les réponses de mad. de M. à M. de R.					Lettres						M. de R., M. B., Mme de M.			intrigue sentimentale			sensibilité, mélancolie, analyse de l’amour				
63.42			THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de												Le nouvel Abailard ou lettres d’un singe au docteur Abadolfs, traduites de l’allemand		Aux Indes & se trouve à Paris			les Libraires qui débitent les nouveautés			1763	1763				2 part, in-12			xviii + 167,96p.		A+ BM+ BN+ AL 1763 IV 167-183; CorrL mai 1763; LV B Dufrenoy Gay Mornet		BUR 1778 mars, pp. 7-11, offre une analyse.					Lettres						Thérèse d’Armilli, Mlle C***			(Ligri singe presque humain, élevé par le docteur Abadolfs, lui écrit pendant ses voyages) intrigue sentimentale comique			remarques sur les mœurs, les institutions, thèmes philosophiques, ton satirique				
63.43	c		UNCY, mademoiselle												Contes moraux dans le goût de M. Marmontel, recueillis de divers auteurs publiés par mademoiselle Uncy		Amsterdam & Paris			Vincent.			1763	1763				4 t. in-12			vii + 527, 525, 399. 453p.		A BN+ AL 1763 I 145-171, III 128-136; CatH iii, v, xv 1763; CorrL mai 1763: LV Dufrenoy Gay Mornet Q		La plupart de ces contes avaient déjà paru, soit dans des livres, soit dans des ouvrages périodiques. Les attributions entre pareil thèses sont fournies dans la Table; nous avons ajouté quelques autres attributions entre crochets.																			I, 1-67, Le puits de la vérité, histoire gauloise; 68-93, Ne pas croire aux apparences, nouvelle espagnole; 94-118, L’école des maris, nouvelle angloise; 119-138, L’école des femmes, nouvelle vénitienne; 139-164, Autre école des femmes; 165-188, Le mécontent; 189-212, Zemin et Gulhindy IWielandl ; 213-243, Le moyen infaillible, anecdote ! Bastide! 244-306, L’amant anonyme, nouvelle /Bastidel; 307-326, Le jeu fou ou l’avare fastueux; 327-346, La mère sans préjugé; 347-359, La fausse mère; 360-381, La fausse fille; 382-392, L’amour constant par l’innocence; 393-426. L’agréable surprise; 427-446, Le petit-maître esprit-fort, anecdote morale /Thorei de Campigneullesl ; 447-469 L’amour plus fort que la mort; 470-491, Les rivales sans exemple; 492-514, L’innocence reconnue; 515-524, La femme tirée au sort ou le procès ridicule. II, 1-47, La philosophe angloise; 48-69, Les confidences réciproques (Fontenelle); 70-84, Le nouvel Adam; 85-106, La femme guérie; 107-160, Histoire de la félicité/Voisenon/; 161-198, Origine du poisson d’avril; 199-221, Il est dangereux de mentir, nouvelle angloise; 222-246, Tristes effets de l’imprudence, nouvelle angloise; 247-268, La nouvelle paysanne parvenue ou la courtisane devenue philosophe /Boufflers, La reine de Golconde/; 269-313, Les grâces de l’ingénuité, nouvelle (Voisenon/; 314-324, La navette d’amour /Voisenon/ ; 325-339, La dormeuse indiscret te, nouvelle; 340-354, L’heureux mortel; 355-368, Les à propos / Voisenon/; 369-387, Il faut toujours venir là; 388-398, Ni trop, ni trop peu/Voisenon!; 399-411, La mésalliance;63.43 412-426, On est assez beau quand on s’aime; 427-433, Sans y penser; 434-446, // eut raison / Voisenon/; 447-462, Les absens ont tort; 463-491, Les rivales réunies (Bastide): 492-508, Les épreuves; 509-521, N’en croyez que vos yeux. III, 1-34, L’amour oriental; 35-42, Générosité angloise; 43-97, Le danger des passions, conte allégorique; 98-105, Le consolateur; 106-126, Le généreux rival: 127-168, Les philosophes; 169-185, Il en sera quitte pour la peur; 186-238, Funestes effets de la vengeance, relation d’un religieux de la Trape /Extrait de Prévost, Monde moral/; 239-253. La bonne école /Moncrif/; 254-283, Ainsi va le monde /Voltaire/; 284-298, Le véritable héroïsme; 299-332, Femme chaste présent du ciel; 333-339, La politesse conjugale; 340-362, Le philosophe de lui-même: 363-384, On peut s’aimer sans se connoitre; 385-396. Rendons-nous utiles. IV. 1-33, L’amour n’est jamais sans trouble; 34-41, Il eut tort / Voisenon]; 42-86, L’histoire de beaucoup de monde; 87-103, Nous aimons nos semblables; 104-168, L’amour désintéressé; 169-175, Espérez; 176-204, Qu’il est beau de se vaincre soi-même; 205-221. La vertu malheureuse, conte poétique; 222-235, L’école des pères; 236-245, Le mari patient; 246-258, On ne badine pas avec l’amour; 259-269, La dévote; 270-274, L’amour leurré: 275-302, Les leçons de l’adversité; 303-310, Le philosophe françois; 311-352. Que de peine pour être heureux; 353-358, La méchante femme punie et corrigée; 359-369, Le sot projet d’un homme sage; 370-408, L’amour aidé par l’amitié; 409-420, L’amour groënlandois; 421-450, La constance couronnée.		
63.5															Histoire des diables modernes, par Mr. A***		Londres			aux dépens de la Société Grégorienne			1763	1763				in-8			221p.		BM+ (sous ‘Adolphus’)							Cadre 1re personne			Paris, Angleterre			Mme R..., Kitty, le fermier Wood, des prêtres			intrigues libertines			satire contre les Jésuites				
63.6															Histoire de Zulime ou l’origine de l’inconstance		Londres						1763	1763				in-12			130p.		A+ CorrL janv. 1764; LV Gay							Cadre 3e personne avec récit 1re personne			île imaginaire			Zulime, Lélie, le prince Tamiri, la fée Minette			intrigue sentimentale, aventures merveilleuses							
63.7															Lettres d’un citoyen de Genève		Cologne & Paris			au cabinet littéraire, Pont Notre-Dame, près la Pompe, magazin de Grangéet Dufour			1763	1763				in-12			179p.		BM+ BN+ CatH xvii 1763; CorrL nov. 1763 Mornet							Lettres						Clifort, George, Thomas, Julie, Mont-Clar			correspondance entre un oncle et son neveu, dont les amours sont tumultueuses			sensibilité effrénée (parodie de la Nouvelle Héloïse)				
63.8															Lettres trouvées dans les papiers d’un père de famille		La Haye & Paris			Charpentier			1763	1763				in-12			415p.		BN+ AL 1763 VI 118-127; CatH xvi 1763; CorrL nov. 1763							Lettres			France, Angleterre			le comte d’Orsainville, Mlle d’Effiat, M. de Sainte-Marine, le chevalier de Kermadeuc			un père, une mère s’occupent de l’éducation de leurs fils-un bon sujet, un mauvais—et veillent sur leurs premiers pas dans le monde			but moralisateur, sensibilité				
63.9															Mémoires pour servir à l’histoire de la marquise de Pompadour traduites (sic) de l’anglois		Londres			aux dépens de S. Hooper			1763	1763				in-12			8 + 9-128p.		BM+		Gay semble avoir confondu cet ouvrage avec les Mémoires de madame la marquise de Pompadour... (v. 66.6), dont il cite des éditions en 1763 et 1765. L’auteur des Mémoires pour servir... prétend que l’ouvrage est une suite à (’Histoire de madame la marquise de Pompadour publiée en 1759 (v. 59.12).					3e personne			France						personnages historiques			chronique scandaleuse, anecdotes scabreuses				
64.1															Adélaïde								1764	1764				2 part, in-12			viii + 141, 128p.		A BN+ CorrL déc. 1763; LV Gay		Le titre de départ porte: Mémoires d’Adélaïde.					1re personne (mémoires), avec récits intercalés 1re personne			France			le comte de Florianne, M. Dorsay, Adélaïde, Emilie			histoires de famille, malheurs d’une jeune fille			sensibilité				
64.10															Histoire de Mlle Laure ou la fille devenue raisonnable		Amsterdam			Pierre Mortier			1764	1764				2 t. in-12			154, 180p.		A+ CatH xiii 1764; LV Gay							1re personne (mémoires)			Paris			Emilie, madame Gautier, Cifredi, La Fleur, Tronqueville			aventures galantes d’une prostituée							
64.11															Les loisirs et amusemens de ma solitude, ouvrage moral		Lausanne & Paris			Duchesne			1764	1764				in-12			159p.		A BN+ AL 1764 IV																							
64.12															Oeuvres diverses de Monsieur P*** de F., de Saint Domingue		Amsterdam			Daniel-Pesarou-Fernicy			1764	1764				pet. in-12			x + 104p.		Nantest		Lettres, suiviesde La simpathie, histoire nouvelle (pp. 71-104).																					
64.13															La tête de mort et le masque d’argent...								1764	1764											CorrL juin 1764 CorrL: ‘II paraît trois contes en prose nouveaux: le premier, La Tête de mort et le Masque d’Argent; le second, La Légitime, et le troisième, L‘A vocal perroquet. Us sont tous les trois détestables et plats, et le premier a encore l’avantage d’être dégoûtant; il n’y a ni sens ni but là-dedans.’																					
64.14			ARNAUD, François-Thomas-Marie de Baculard d’												Fanni ou l’heureux repentir, histoire anglaise		Londres						1764	1764				in-12			iv + 149p.		A BN+ AL 1765 III 112- 118, et 1767 II 214-215; CatH xlix 1764; CorrL jan. 1765 et mai 1767; LV Mornet Inklaar		Dans l’avertissement de l’édition de 1767, on lit: ‘Cet Ouvrage parut pour la première fois dans le Discoureur en 1762 sous le titre de Nancy ou la nouvelle Paméla; il fut réimprimé à l’insçu deM. d’Arnaud en 1764 avec celui de Fanni ou l’heureux repentir; il ne s’y trouvait de changé que les noms des Personnages ’. L’article de AL en 1765 ajoute les précisions suivantes: la nouvelle a été publiée pour la première fois dans le Discoureur Nos 38, 39 et 40, août 1762. Les éditeurs de l’édition de 1764 se proposent de ‘ former un choix des plus jolis Romans répandus dans un très-grand nombre d’ouvrages qu’on ne connoit plus ou qu’on auroit toutes les peines du monde à se procurer ’. AL annonce déjà que Baculard d’Arnaud se préparait à publier un recueil de nouvelles semblables, et c’est bien avec Fanni que celui-ci lance ses Epreuves de sentiment (v. 70.21 ).					1re personne			Angleterre			lord Thatley, sir Thoward, Adams, Fanni			un lord tombe amoureux d’une jeune paysanne et essuie une série de malheurs			sensibilité effrénée, ton sombre				
64.15	c_MH		BARET, Paul												L’homme ou le tableau de la vie, histoire des passions, des vertus et des événemens de tous les âges, trouvés dans les papiers de feu M. l’abbé P***		Londres & Paris			Cailleau, Robin			1764	1764				6 livres in-12			140, 160, 136, 130, 116, 143p.		A BN CatH xxvii 1764; CorrL juillet 1764 Delcro Mornet		L’auteur veut faire croire que son ouvrage est de l’abbé Prévost. Dans l’Avant-propos on lit: ‘ Comme je touche au terme de mes jours,.. .je déclare que ma dernière intention est que ce livre ne paroisse que six mois après ma mort ’. Prévost est mort en novembre 1763.					1re personne, avec récits intercalés 1re personne			France			Senneval, M. Hervey, Sophie, M. le Blanc, Julie			aventures romanesques et extraordinaires			ton sombre ( ’victime de l’Amour, esclave des Passions, jouet de ta Fortune, j’ai vécu dans un tourbillon de maux...’)				
64.16	n		BASTIDE, Jean-François de											adapt. par ?	Le repentir des amants		Amsterdam & Paris			Panckoucke			1764	1764									B Dufrenoy Gay Mornet Q		Selon la BUR (qui donne une version abrégée du Repentir, 1781, avril I, 169 - 216p.): ‘ Le Repentir des amants avoit paru quelques années auparavant sous le titre La Trentaine de Cythère. Les changements qu’on y a fait sont si considérables qu’on peut les envisager aujourd’hui comme des ouvrages différents ’. Gay ajoute: ‘ C’est un remaniement de la Trentaine de Cythère, dans lequel l’arrangeur a fait disparaître les tableaux un peu libres ’. La Trentaine de Cithère a été publiée en 1753 (V. 53.5): pour les autres éditions voir cet article. Cette nouvelle version est-elle de Bastide?																					
64.17	m		BILLARDON DE SAUVIGNY, Louis-Edme												Apologues orientaux dédiés à monseigneur le Dauphin		Paris			Duchesne			1764	1764				in-12			202 + viii p.		A BN+ CatH xvii 1764 B Delcro Dufrenoy Q		Selon l’avertissement, ‘Amed ben Mohamed, auteur de ces apologues, avoit été Bacha sous le dernier Sultan.. .’; mais l’ouvrage paraît être plutôt une traduction supposée.																			En marge: de très courts récits, souvent sous une forme dialoguée		
64.18	t		BROOKE, Frances Moore						BOUCHAUD, Mathieu-Antoine						Histoire de Julie Mandcville ou lettres traduites de l’anglois sur la troisième édition par M. B***		Paris			Duchesne			1764	1764				2 part, in-12			296, 284p.		A BN+ AL 1764 V 172-202; CatH xxvi 1764; LV B Q Rochedieu Streeter		BUR 1785 juillet I, pp. 3 - 92, offre des extraits de l’ouvrage. L’éditeur cite une édition de 1761, de 580 pages, évidemment par erreur pour 1764.			Trad. de The History of Lady Julia Mandeville, 1763.		Lettres			Angleterre			Henri Mandeville, Julie Belmont, Wilmot			intrigue mondaine, récit sentimental			sensibilité				
64.19	*		CHAINEL, Philippe-Antoine												Histoire d’une cause célèbre traitée au temple de la Gloire, toutes les nations assemblées, la veille des ides de décembre de la première année du 272e lustre depuis la fondation de la monarchie françoise B								1764	[non déclaré]																																
64.2															L’amant auteur et malheureux		Amsterdam						1764	1764				in-12			43p.		A BN+ CatH xxxviii 1764; CorrL mars 1765; LV Mornet							1re personne									curieuse anecdote où l’auteur assiste aux ébats amoureux d’un écrivain pauvre et de son amante Julie (le narrateur montre à l’écrivain comment mieux plaire au public, ce qui lui permettra d’épouser sa Julie)			ouvrage à clef?				
64.20			CONTANT D’ORVILLE, André-Guillaume												Mémoires d’Azéma, contenant diverses anecdotes des règnes de Pierre le Grand, empereur de Russie et de l’impératrice Catherine son épouse, traduits du russe, par M.C.....D.....		Amsterdam						1764	1764				2 part, in-12			xii + 245, 216p.		A BN+ AL 1764 I 317-329; CatH x 1764; CorrL jan. 1764; LV B Delcro Dufrenoy Gay Mornet Q		NBR Ire année, XIV (1799), pp. 1-154 offre une version abrégée.					1re personne (mémoires), avec beaucoup de narration à la 3e personne			Russie			Mazépa, Osakoi, Azéma, Pierre le Grand, Catherine			aventures romanesques, voyages, campagnes militaires, arrière-plan historique							
64.21			DIGARD DE KERGUETTE, Jean												L’humanité récompensée par l’amour, ouvrage traduit de l’espagnol		Amsterdam						1764	1764				pet. in-8			79p.		A BN+ LV B Gay Mornet Q, suivant		Ersch sans doute, donne la date de 1760. Traduction supposée?					3e personne, avec récit intercalé 1re personne			Espagne (cour de Charles II)			dom Alvarde Fuentes, D. Rémon, Dona Mencia			aventures romanesques, intrigue sentimentale			intentions moralisatrices				
64.22			DUMONT, madame, née Lutel												Nouveau recueil de pièces en vers et en prose		Paris			L.G. Dehansy fils aîné			1764	1764				in-12			212p.		BN+ CatH i 1764 B Q																							
64.23			ELIE DE BEAUMONT, Anne-Louise Dumesnil-Molin, madame												Lettres du marquis de Roselle par madame ***		Londres & Paris			L. Cellot			1764	1764				2 part, in-12			319, 256p.		A BN+ AL 1764 V 3-28; CatH xxvii 1764; CorrL juillet 1764, fév. 1765; LV B Delcro Gay Mornet Q							Lettres			France			le marquis de Roselle, Mme de Saint-Sever, Mme de Norton, M. de Valville, Léonor			intrigue sentimentale			analyse psychologique				
64.24			FENESTRE DE HOTOT, Pierre-Alexandre-Eléonor												Mémoires d’une provinciale écrits par elle-même		Amsterdam & Paris						1764	1764				2 part, in-12			147, 195p.		A+ AL 1764 V 337-350; CatH xxvi 1764, v 1765; LV B Delcro Gay Mornet							1re personne (mémoires), avec récit intercalé 1re personne			Rouen			Mlle de Bonnecourt, Mlle Desvieux, M. de Vadan-court, M. de Maingovai								t.I, intrigues sentimentales et mondaines- t.II, tes aventures romanesques et les voyages (Pologne, Russie, Indes) de M. de Maingovai		
64.25	nt c_MH		GESSNER, Salomon						HUBER, Michael						Daphnis et le Premier navigateur, poèmes de M. Gessner, traduits de l’allemand par M. Huber		Paris			Vincent			1764	1764				in-12			xix + 244p.		BN+ AL 1764 II 27 - 54; CatH vii 1764 Q Van Tieghem (RLC 1924)					Trad. de Daphnis, 1754 et de Der erste Schiffer, 1762. Daphnis avait déjà été traduit par un anonyme en 1756 (v. 56.15) Der erste Schiffer a été traduit en 1764 par Senolières, sous le titre du Premier marin (v. 64.26).																Pp.l - 164, Daphnis: 3e personne; cadre pastoral; Daphnis, Philis, nymphes, bergères, bergers: intrigue sentimentale; nature, sensibilité, prose poétique; pp.l 71 -240, Le premier navigateur: 3e personne; cadre grec; Sêmire, Mélide; personnages mythologiques; un amant traverse la mer pour chercher sa bien-aimêe; sensibilité		
64.26	nt		GESSNER, Salomon						SENOLIÈRES						Le premier marin, poème en trois chants par Mr. Gesner (sic), traduit de l’allemand par Mr.		Sedan			frères Jacquemart			1764	1764				in-8			vi + 95p.		BN+ B Q Van Tieghem (RLC 1924)		Pour d’autres renseignements, v. la traduction de Michael Huber, Daphnis et le Premier navigateur, 64.25.																					
64.27			GOUDAR, Ange												L’espion chinois ou l’envoyé secret de la cour de Pékin pour examiner l’état présent de l’Europe, traduit du chinois		Cologne						1764	1764				6 t. in-12			vii + 303, 310, 308, 330,234, 281p.		La Hayet DLC CorrL fév. 1765 Dufrenoy Mars							Lettres			France, Angleterre, Suisse, Italie, Espagne, Portugal			Cham-pi-pi, Kié-tou-na, Sin-ho-si (voyageurs chinois)			discussions philosophiques, critique des mœurs			à la manière des Lettres persanes				
64.28	m		GRIVEL, Guillaume												L’ami des jeunes gens, par M. G*****		Lille & Paris			J.B. Henry, Duchesne			1764	1764				2 part, in-12			vü+ 237. 239p.		BN+ CatH xlvi 1764, vi 1765 B																					En marge: une société de gens, réunis dans une maison de campagne, discute des problèmes de l’éducation, Au début de chaque ‘journée’, il y a une petite description des ac-tivitiés quotidiennes des interlocuteurs, mais la discussion abstraite occupe de loin la plus grande partie de l’ouvrage.		
64.29	mnt		HOMÈRE						BITAUBÉ, Paul-Jérémie						L’Iliade d’Homère, traduction nouvelle précédée de réflexions sur Homère, par M. Bitaubé		Paris			Prault			1764	1764				2 t. in-8			215, 393p.		BN+ AL 1764 VI 289-307		Selon AL, il s’agit d’une version augmentée de la traduction publiée par Bitaubé en 1762. Pour les détails des autres éditions, et des versions par d’autres traducteurs, v. 62.19.																					
64.3															L’amour précepteur ou le triomphe de l’infortune		Neuchâtel			Fauche			1764	1764				2 t. in-12					LV Gay		BUR 1782 avril 1, pp.128 - 168, offre un résumé de l’ouvrage. Selon l’éditeur, l’Amour précepteur fut ‘imprimé sous le titre à’Anecdote en 1760 ’. Il s’agit peut-être d’une première publication dans un ouvrage périodique.					3e personne			France			mademoiselle **, le baron de Fonte, la comtesse de Présange			éducation sentimentale du marquis de **			ton moralisateur, sensibilité				
64.30			LAMBERT, abbé Claude-François												Mémoires et avantures de dom Inigo de Pascarilla par l’auteur de la Nouvelle Marie-Anne En Espagne & se trouve à		Paris			Duchesne, Musier, Pancouke			1764	(sic), 1764				2 part, in-12			208, 209p.		A BM BN+ AL 1764 VI 31-46; CatH xxvi 1764; LV B Delcro Dufrenoy Gay Mornet Q							1re personne, avec récits intercalés 1re personne			Espagne, Mexique, le Cap, chez tes Hottentots			del Rio, Inigo, Isabelle, dom Gusman			voyages, aventures romanesques			intentions moralisatrices				
64.31	t		LANGHORNE, John						ROBINET, Jean-Baptiste-René						Lettres de Théodose et de Constance, traduites de l’anglois		Rotterdam			H. Beman			1764	1764				pet. in-8			xvi + 160p.		A+ B Q Rochedieu Streeter					Trad. de Letters that passed between Theodosius and Constan-tia after She Had Taken the Veil, 1763.		Lettres									deux amants malheureux se rencontrent par hasard, elle devenue religieuse, lui confesseur; correspondance amoureuse où rentrent des discussions religieuses			sensibilité, but didactique				
64.32	m		LEPRINCE DE BEAUMONT, madame Marie												Instructions pour les jeunes dames qui entrent dans le monde et se marient, leurs devoirs dans cet état et envers leurs enfans, pour servir de suite au Magasin des adolescentes par M. (sic) Le Prince de Beaumont		Londres & Paris			J. Nourse, Desaint et Saillant			1764	1764				4 t. in-12			216, 215, 283, 400p.		BN+ CatH xix 1764 Delcro Q		Le Magasin des adolescentes est de 1760.																			En marge: dialogues entre des personnages distingués, qui discutent des préceptes moraux et de petites anecdotes		
64.33	mt		LESSING, Gotthold Ephraim						ANTELMY, Pierre-Thomas						Fables et dissertations sur la nature de la fable traduites de l’allemand de M. Gotthold Ephraim Lessing par M. d’Antelmy		Paris			Vincent, Pankouke			1764	1764				in-12			xiv + 398p.		BM+ BN AL 1764 VIII 262-274 et 1780 II 73-93 Q					Trad. de Gotthold Ephraim Lessings Fabeln, 1759. Les Dissertations et le texte allemand des Fables occupent les trois quarts du volume. La traduction de certaines fables de Lessing publiée par A.-J. Ducoudray en 1770, avec le titre de Fables allemandes, est en vers.																En marge: petites fables en prose		
64.34	c_MH		MAILHOL, Gabriel												Le philosophe nègre et les Secrets des grecs, ouvrage trop nécessaire		Londres						1764	1764				2 part, in-12			vi + 133, 120p.		A BM+ BN+ CorrL avril 1764 B Dufrenoy Gay Mornet Q		Selon Q, une des deux parties de cet ouvrage reproduit les Anecdotes orientales de Mailhol et de Mantelle (V. 52.30), mais ce rapprochement est erroné.																			I, Le philosophe nègre: 1re personne, avec deux longs récits intercalés 1re personne (Le philosophe nègre, Diomède); Allemagne; Mitombo, le baron et la baronne de Windiggreffin, Tintillo, Tourneman, Diomède (milieux militaires); aventures romanesques et comiques. II, Les secrets des grecs: discussion sur les techniques des escrocs.		
64.35			MOLIÈRE, J.-L.-J.												Le pêcheur cru Norvégeois, histoire turque, par J.L.J. Molière		Paris						1764	1764				in-12			34p.		BN+		Le titre de départ porte: Histoire d’un pêcheur qui q été enlevé par le vent, ce qu’il est devenu & de la manière dont il a été marié à la fille du Bastangi d’Alger.					1re personne			Alger			Cherton, le Bostangi, Chéraquim, Farzeline			aventures romanesques, intrigues amoureuses							
64.36	m		NOUGARET, Pierre-Jean-Baptiste												Lettre d’un mendiant au public								1764	[non déclaré]				in-12			34p.		BN+ Q		Les exemplaires de la BN n’ont qu’un faux titre. Une note manuscrite sur l’un d’entre eux donne la date: 23 7bre 1764. Q propose également 1764.																			En marge: brochure facétieuse sur les lois contre la mendicité. L’auteur raconte sa vie de mendiant (critique des mœurs).		
